Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
prepended_v1_basic_clean,MultinomialNB,0.7908122435456331,0.8467699741652106,0.6196023888103096,0.715196434577522,0.858515057113188
prepended_v1_basic_clean,KNN,0.7362840629451226,0.7554983549203083,0.5636798679867987,0.6438937290515913,0.792472370568165
prepended_v2_no_emojis_mentions,SVM,0.7889606748732063,0.774131766873047,0.7104345434543455,0.7406506057271675,0.8595692404687733
prepended_v2_no_emojis_mentions,PassiveAggressive,0.7855984855564334,0.7642979081610222,0.7163916391639165,0.7393227934041453,0.8459204865746922
prepended_v2_no_emojis_mentions,NeuralNetwork,0.7855963617107435,0.7853139616939837,0.6806789250353609,0.7291351986153968,0.8345571873609258
prepended_v2_no_emojis_mentions,LogisticRegression,0.7879511402219561,0.8103120293800986,0.6537065849442089,0.7232466812075298,0.8574172971369233
prepended_v2_no_emojis_mentions,MultinomialNB,0.7919906947240841,0.85329928817946,0.616031746031746,0.7151698651646108,0.8595460614152202
prepended_v2_no_emojis_mentions,KNN,0.736620338512685,0.7686326526218101,0.5474115983026874,0.6370688926003366,0.7825990209167779
prepended_v3_lemmatized,SVM,0.7892977999790447,0.7726025748456731,0.7140028288543141,0.7418729949114462,0.8590732087227414
prepended_v3_lemmatized,PassiveAggressive,0.7867735385817808,0.7693395528894282,0.7112321232123213,0.7388138558080112,0.846658507639816
prepended_v3_lemmatized,NeuralNetwork,0.7842501267227928,0.7803020467555608,0.6842534967782493,0.7289522270232995,0.8338543984572022
prepended_v3_lemmatized,LogisticRegression,0.7891291666312693,0.8074026929740459,0.6612494106553513,0.7266963404257171,0.8584538644118084
prepended_v3_lemmatized,MultinomialNB,0.7894662917371076,0.8518172251422174,0.6104824768191105,0.7109237788427668,0.8594144043910398
prepended_v3_lemmatized,KNN,0.7352731123967458,0.7756604874441231,0.5339250353606789,0.6300759727837537,0.7759642486278
prepended_v4_stemmed,SVM,0.7913177188198214,0.7768367631086447,0.7132131070249883,0.7434873155407022,0.8598854027592346
prepended_v4_stemmed,PassiveAggressive,0.7862680633075924,0.764275467524134,0.717971868615433,0.740189297084576,0.8460243287346092
prepended_v4_stemmed,NeuralNetwork,0.786269054435581,0.7781888491031396,0.6945678139242496,0.73370811743997,0.834013870345646
prepended_v4_stemmed,LogisticRegression,0.7852586702460547,0.7964448793375964,0.6640303316045891,0.7238835139545305,0.8575229936211244
prepended_v4_stemmed,MultinomialNB,0.7899724749598593,0.8557921348305492,0.6073063020587773,0.710336233878354,0.8593995697967661
prepended_v4_stemmed,KNN,0.733422818031733,0.7809098870649459,0.5208400125726859,0.6225316090703632,0.7696224595757306
prepended_v5_lemma_stem,SVM,0.7909813016625463,0.7767270705890483,0.7124186704384725,0.7429904256644219,0.8593402314196706
prepended_v5_lemma_stem,PassiveAggressive,0.7852583870666294,0.7630215082405108,0.7167821782178219,0.7389465529627698,0.8453271028037384
prepended_v5_lemma_stem,NeuralNetwork,0.7832393177641286,0.7721869353883011,0.6937702341662739,0.7307561913071045,0.833596647381694
prepended_v5_lemma_stem,LogisticRegression,0.786268204897305,0.7976211293792561,0.6656168473990256,0.7253125914626184,0.8568554368788014
prepended_v5_lemma_stem,MultinomialNB,0.7898039832017965,0.8565159316055379,0.606115825868301,0.7097643108669186,0.8588340008900756
prepended_v5_lemma_stem,KNN,0.7340962187051336,0.7825273986459313,0.5208407983655509,0.6230578815370849,0.7691533155318202
prepended_v6_custom_stopwords,SVM,0.7879518481705193,0.770025872919487,0.7140059720257741,0.7406722579640651,0.8579068387479603
prepended_v6_custom_stopwords,PassiveAggressive,0.7845869686492059,0.7659552425867432,0.7096456074178847,0.7363837070186126,0.8429007194778222
prepended_v6_custom_stopwords,NeuralNetwork,0.7840823429132933,0.7812160520854907,0.6822693697941224,0.7282257483690973,0.8316060302625722
prepended_v6_custom_stopwords,LogisticRegression,0.7876142982955431,0.8049843319789025,0.6596605374823197,0.7248082745708352,0.8560719848687139
prepended_v6_custom_stopwords,MultinomialNB,0.7891295914004072,0.8458568919393319,0.6156404211849756,0.7122887161070027,0.8580839267171043
prepended_v6_custom_stopwords,KNN,0.7214739205908255,0.8391290142605932,0.4323424485305673,0.5650899067975,0.7603193146417444
prepended_v7_lowercase_words_only,SVM,0.7891290250415566,0.7742344061692347,0.7108313688511709,0.7409028579794197,0.8596879172229639
prepended_v7_lowercase_words_only,PassiveAggressive,0.7861033944717712,0.7650035972555275,0.7167884645607419,0.739869361315005,0.8458648568461653
prepended_v7_lowercase_words_only,NeuralNetwork,0.7830709675957783,0.7759790457892166,0.6870257740059721,0.7285523646444954,0.8343569203382288
prepended_v7_lowercase_words_only,LogisticRegression,0.7877829316433186,0.8096136126160658,0.6541034103410341,0.7232083229826001,0.857471072541166
prepended_v7_lowercase_words_only,MultinomialNB,0.7919906947240841,0.8532578584206492,0.616031746031746,0.7151658338274691,0.8595145379023884
prepended_v7_lowercase_words_only,KNN,0.7366204801023977,0.7682594769394622,0.5478084236995129,0.6372327145206383,0.7825313380804034
prepended_v8_keep_hashtags,SVM,0.7892977999790447,0.7726025748456731,0.7140028288543141,0.7418729949114462,0.8590732087227414
prepended_v8_keep_hashtags,PassiveAggressive,0.7867735385817808,0.7693395528894282,0.7112321232123213,0.7388138558080112,0.846658507639816
prepended_v8_keep_hashtags,NeuralNetwork,0.7842501267227928,0.7803020467555608,0.6842534967782493,0.7289522270232995,0.8338543984572022
prepended_v8_keep_hashtags,LogisticRegression,0.7891291666312693,0.8074026929740459,0.6612494106553513,0.7266963404257171,0.8584538644118084
prepended_v8_keep_hashtags,MultinomialNB,0.7894662917371076,0.8518172251422174,0.6104824768191105,0.7109237788427668,0.8594144043910398
prepended_v8_keep_hashtags,KNN,0.7352731123967458,0.7756604874441231,0.5339250353606789,0.6300759727837537,0.7759642486278
prepended_v9_minimal_processing,PassiveAggressive,0.7839132847963798,0.7555972263522851,0.7263067735344964,0.7403849956507774,0.8516985610443555
prepended_v9_minimal_processing,SVM,0.7886258152027706,0.7730084279213798,0.7108329404369009,0.740376530531692,0.8590157246699304
prepended_v9_minimal_processing,NeuralNetwork,0.7866050468237179,0.781977731957835,0.6898066949552097,0.7326422841891592,0.8425270731345498
prepended_v9_minimal_processing,LogisticRegression,0.7884566154961445,0.8132771799250813,0.6513287757347163,0.723070032579494,0.8560933095979825
prepended_v9_minimal_processing,MultinomialNB,0.7913174356403961,0.8506950818536196,0.6168261826182618,0.7147781084276029,0.8585873757602729
prepended_v9_minimal_processing,KNN,0.7357804283371986,0.7575158017495534,0.558919534810624,0.6416554425573017,0.789106771992286
